Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00049152,-3.0954E-08,0.25629,0,0,0,31.023,0.26899,4.7185E-10,-2.7449E-06,0.13808,1.2373E-10,0.24725,0,0,0,0,0,0,package://Roboot1.6/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Roboot1.6/meshes/base_link.STL,,LeftEC-A10020-P2-241-10;零件509-1;Left零件1-5;零件1-1;EC-A10020-P2-24-5;上肢配重-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,-0.014554,-0.039773,-0.051175,0,0,0,2.634,0.0019805,-0.00012178,-0.00016777,0.0013535,-0.0002698,0.00098674,0,0,0,0,0,0,package://Roboot1.6/meshes/left_hip_pitch_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://Roboot1.6/meshes/left_hip_pitch_link.STL,,零件23-1;零件24-1;EC-A10020-P2-24-8,Origin_Empty_Link1,基准轴1,left_hip_pitch_joint,revolute,0.00049158,-0.10845,0.059136,0,0,0,base_link,0,0.90631,0.42262,140,5,-2.6,2.6,,,,,,,,
left_hip_roll_link,0.0074434,-2.3963E-05,-0.070083,0,0,0,1.896,0.00059031,2.2238E-07,1.9516E-05,0.00047163,-2.5199E-07,0.00051393,0,0,0,0,0,0,package://Roboot1.6/meshes/left_hip_roll_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://Roboot1.6/meshes/left_hip_roll_link.STL,,胯部连接1-1;EC-A10010-p2-16-1,Origin_Empty_Link2,基准轴2,left_hip_roll_joint,revolute,0.019165,-0.058655,-0.083623,0,0,0,left_hip_pitch_link,-1,0,0,140,5,-0.8,2,,,,,,,,
left_hip_yaw_link,5.0405E-05,0.003536,-0.17718,0,0,0,2.865,0.0068188,-1.4863E-07,-2.1427E-06,0.0070209,-4.9146E-07,0.00093183,0,0,0,0,0,0,package://Roboot1.6/meshes/left_hip_yaw_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://Roboot1.6/meshes/left_hip_yaw_link.STL,,大腿-2/大腿支架-1;小腿-1/EC-A10020-P2-24-1,Origin_Empty_Link3,基准轴3,left_hip_yaw_joint,revolute,-0.017415,-0.0036252,-0.14039,0,0,0,left_hip_roll_link,0,0,1,140,5,-2.6,2.6,,,,,,,,
left_knee_link,-0.01609,0.029412,-0.20201,0,0,0,2.161,0.011592,-1.0478E-06,-0.00020792,0.011377,1.7782E-05,0.00074756,0,0,0,0,0,0,package://Roboot1.6/meshes/left_knee_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://Roboot1.6/meshes/left_knee_link.STL,,小腿-1/膝盖驱动板-1;小腿-1/右腿-1;小腿-1/脚踝长连杆-1;小腿-1/脚踝短连杆230-1;小腿-1/4_H6定位销-6;小腿-1/4_H6定位销-4;小腿-1/4_H6定位销-3;小腿-1/4_H6定位销-2;小腿-1/4_H6定位销-1;小腿-1/4_H6定位销-5;小腿-1/HRAU1005轴承-2;小腿-1/EC-A4315-P2-36-V2-1;小腿-1/EC-A4315-P2-36-V2-2;小腿-1/HRAU1005轴承-1;小腿-1/右腿摆臂-2;小腿-1/右腿摆臂-1;小腿-1/球头-2;小腿-1/球头-3;小腿-1/球头-4;小腿-1/球头-1;小腿-1/GEG8C1外19内6-4;小腿-1/GEG8C1外19内6-3;小腿-1/GEG8C1外19内6-2;小腿-1/GEG8C1外19内6-1,Origin_Empty_Link4,基准轴4,left_knee_joint,revolute,0,-0.0365,-0.298,0,0,0,left_hip_yaw_link,0,1,0,140,5,-0.2,1.8,,,,,,,,
left_ankle_pitch_link,-2.575E-10,-3.6336E-10,4.3692E-12,0,0,0,0.007,7.8505E-07,-7.0875E-18,6.7804E-09,5.3402E-07,-4.1848E-16,1.1853E-06,0,0,0,0,0,0,package://Roboot1.6/meshes/left_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://Roboot1.6/meshes/left_ankle_pitch_link.STL,,小腿-1/十字轴-2,Origin_Empty_Link5,基准轴5,left_ankle_pitch_joint,revolute,-0.013,0.030625,-0.44831,0,0,0,left_knee_link,0,1,0,140,5,-0.5,1,,,,,,,,
left_ankle_roll_link,0.0084316,0.00010541,-0.0362,0,0,0,0.72,0.00037256,-1.1182E-07,7.1661E-05,0.0023595,-8.0875E-07,0.0026349,0,0,0,0,0,0,package://Roboot1.6/meshes/left_ankle_roll_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Roboot1.6/meshes/left_ankle_roll_link.STL,,小腿-1/右脚-1/脚垫-1;小腿-1/右脚-1/脚板上支-1;小腿-1/右脚-1/脚掌后支-1;小腿-1/右脚-1/HRAU1005轴承-3;小腿-1/右脚-1/HRAU1005轴承-4;小腿-1/右脚-1/右脚掌-1,Origin_Empty_Link6,基准轴6,left_ankle_roll_joint,revolute,-0.0023336,0,3.9519E-05,0,0,0,left_ankle_pitch_link,1,0,0,140,5,-0.4,0.4,,,,,,,,
right_hip_pitch_link,-0.014554,0.052688,-0.057198,0,0,0,2.634,0.0019805,0.00012178,-0.00016777,0.0013535,0.0002698,0.00098675,0,0,0,0,0,0,package://Roboot1.6/meshes/right_hip_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Roboot1.6/meshes/right_hip_pitch_link.STL,,LeftEC-A10020-P2-24-11;Left零件23-4;Left零件24-4,Origin_Empty_Link7,基准轴7,right_hip_pitch_joint,revolute,0.00049158,0.095534,0.065158,0,0,0,base_link,0,-0.90631,0.42262,140,5,-2.6,2.6,,,,,,,,
right_hip_roll_link,0.023539,2.3928E-05,-0.070083,0,0,0,1.896,0.00059031,-2.2205E-07,1.9516E-05,0.00047163,2.5191E-07,0.00051393,0,0,0,0,0,0,package://Roboot1.6/meshes/right_hip_roll_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://Roboot1.6/meshes/right_hip_roll_link.STL,,Left胯部连接1-4;LeftEC-A10010-p2-16-4,Origin_Empty_Link8,基准轴8,right_hip_roll_joint,revolute,0.0030702,0.07157,-0.089646,0,0,0,right_hip_pitch_link,-1,0,0,140,5,-2,0.8,,,,,,,,
right_hip_yaw_link,5.0461E-05,-0.003536,-0.17717,0,0,0,2.865,0.0068188,1.4767E-07,-2.1419E-06,0.0070209,4.9022E-07,0.00093183,0,0,0,0,0,0,package://Roboot1.6/meshes/right_hip_yaw_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://Roboot1.6/meshes/right_hip_yaw_link.STL,,Left大腿-5/Left大腿支架-1;Left小腿-4/LeftEC-A10020-P2-24-1,Origin_Empty_Link9,基准轴9,right_hip_yaw_joint,revolute,-0.0013202,0.0036252,-0.14039,0,0,0,right_hip_roll_link,0,0,1,140,5,-2.6,2.6,,,,,,,,
